Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Acinetobacter spp.
Antibiotic filter: Amikacin

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2018,"BLOOD","Acinetobacter spp.","Amikacin",0,23.07830182,46.499079378,66.346688926,92.366412214
2019,"BLOOD","Acinetobacter spp.","Amikacin",0,9.097096189,40.547945205,70.042078057,91.111111111
2020,"BLOOD","Acinetobacter spp.","Amikacin",0,13.333333333,56.221198157,76.61097852,94.827586207
2021,"BLOOD","Acinetobacter spp.","Amikacin",0,16.75,46.366353743,73.485989126,98.113207547
2022,"BLOOD","Acinetobacter spp.","Amikacin",0,13.443830571,49.570166799,74.852941176,100
2023,"BLOOD","Acinetobacter spp.","Amikacin",0,12.220580435,47.823678379,66.596818454,94.418604651


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARG","Argentina","Region of the Americas",2018,"BLOOD","Acinetobacter spp.","Amikacin",7385,347,78,22.478386167
"BIH","Bosnia and Herzegovina","European Region",2018,"BLOOD","Acinetobacter spp.","Amikacin",841,131,121,92.366412214
"BRA","Brazil","Region of the Americas",2018,"BLOOD","Acinetobacter spp.","Amikacin",314,32,13,40.625
"ETH","Ethiopia","African Region",2018,"BLOOD","Acinetobacter spp.","Amikacin",122,15,4,26.666666667
"GEO","Georgia","European Region",2018,"BLOOD","Acinetobacter spp.","Amikacin",216,28,20,71.428571429
"IND","India","South-East Asia Region",2018,"BLOOD","Acinetobacter spp.","Amikacin",14459,1862,1188,63.80236305
"IDN","Indonesia","South-East Asia Region",2018,"BLOOD","Acinetobacter spp.","Amikacin",1381,205,51,24.87804878
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Amikacin",1826,611,320,52.373158756
"JPN","Japan","Western Pacific Region",2018,"BLOOD","Acinetobacter spp.","Amikacin",126859,1745,12,0.687679083
"XKX","Kosovo","European Region",2018,"BLOOD","Acinetobacter spp.","Amikacin",164,60,52,86.666666667
"NPL","Nepal","South-East Asia Region",2018,"BLOOD","Acinetobacter spp.","Amikacin",1202,103,26,25.242718447
"MKD","North Macedonia","European Region",2018,"BLOOD","Acinetobacter spp.","Amikacin",176,21,14,66.666666667
"OMN","Oman","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Amikacin",631,55,32,58.181818182
"PAK","Pakistan","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Amikacin",7410,199,57,28.64321608
"PHL","Philippines","Western Pacific Region",2018,"BLOOD","Acinetobacter spp.","Amikacin",5595,664,148,22.289156627
"KOR","Republic of Korea","Western Pacific Region",2018,"BLOOD","Acinetobacter spp.","Amikacin",3519,247,138,55.870445344
